id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
1372,1.60314,100000000.0,170877916.0,Blood Diamond,143,2006-12-07,1394,7.2,2006,108166915.829157,184833371.57033798
1948,1.526073,12000000.0,42931041.0,Crank,88,2006-08-31,732,6.5,2006,12980029.8994988,46437182.983051
186,1.5203870000000002,27000000.0,56308881.0,Lucky Number Slevin,110,2006-02-24,787,7.3,2006,29205067.2738724,60907579.915610306
9036,1.51114,40000000.0,120455994.0,Eight Below,120,2006-02-17,328,6.6,2006,43266766.33166289,130293533.641154
9286,1.498538,25000000.0,117719158.0,Final Destination 3,93,2006-02-10,535,5.8,2006,27041728.9572893,127333182.54865201
588,1.4983520000000001,50000000.0,97607453.0,Silent Hill,125,2006-04-21,580,6.3,2006,54083457.9145786,105578971.52949399
9655,1.470711,20000000.0,33889159.0,She's the Man,105,2006-03-17,395,6.3,2006,21633383.1658314,36656858.090739205
1381,1.432839,35000000.0,15304890.0,The Fountain,96,2006-09-06,371,6.7,2006,37858420.540205,16554827.4840451
9836,1.411147,100000000.0,384335608.0,Happy Feet,108,2006-11-16,876,5.8,2006,108166915.829157,415723973.606839
1246,1.409773,24000000.0,155721132.0,Rocky Balboa,102,2006-12-20,455,6.4,2006,25960059.7989977,168438745.77865
11619,1.390297,149000000.0,64459316.0,Flushed Away,85,2006-10-22,488,6.0,2006,161168704.585444,69723654.0817705
9904,1.363623,80000000.0,37384046.0,The Wild,94,2006-03-06,137,5.2,2006,86533532.66332579,40437169.570353396
7551,1.35007,75000000.0,180557550.0,DÃ©jÃ  Vu,126,2006-11-21,862,6.5,2006,81125186.87186791,195303533.131688
2486,1.2962719999999999,100000000.0,249288105.0,Eragon,104,2006-12-14,536,4.8,2006,108166915.829157,269647254.707451
2044,1.259442,40000000.0,114830111.0,The Lake House,99,2006-06-16,389,6.3,2006,43266766.33166289,124208189.511897
4257,1.2418360000000002,45000000.0,178262620.0,Scary Movie 4,83,2006-04-13,368,5.3,2006,48675112.1231207,192821178.13025
9297,1.235478,75000000.0,140175006.0,Monster House,91,2006-07-21,501,6.3,2006,81125186.87186791,151622980.75353602
6877,1.223177,50000000.0,88715192.0,Failure to Launch,97,2006-03-10,242,5.6,2006,54083457.9145786,95960487.0583152
1579,1.21726,40000000.0,120175290.0,Apocalypto,139,2006-12-07,667,7.1,2006,43266766.33166289,129989904.781745
9906,1.211868,50000000.0,55181129.0,The Ant Bully,88,2006-07-27,228,5.5,2006,54083457.9145786,59687725.35900871
9792,1.2083899999999999,15000000.0,69623713.0,The Hills Have Eyes,107,2006-03-10,359,6.0,2006,16225037.3743735,75309823.03784399
10025,1.194602,28000000.0,38159905.0,Just My Luck,103,2006-05-12,271,5.7,2006,30286736.432164002,41276392.3218363
1247,1.18228,85000000.0,59908565.0,The Good Shepherd,167,2006-12-11,174,5.9,2006,91941878.45478371,64801247.078005895
9920,1.1334,30000000.0,31070211.0,Ultraviolet,88,2006-03-03,256,5.0,2006,32450074.7487471,33607688.9803115
